path,method,source,operationId,tags,summary,note
/api/admin/audit-log/,GET,openapi,admin_audit_log_list,admin,,
/api/admin/audit-log/{id}/,GET,openapi,admin_audit_log_retrieve,admin,,
/api/admin/konsensus-config/,GET,openapi,admin_konsensus_config_list,admin,,
/api/admin/konsensus-config/,POST,openapi,admin_konsensus_config_create,admin,,
/api/admin/konsensus-config/{id}/,DELETE,openapi,admin_konsensus_config_destroy,admin,,
/api/admin/konsensus-config/{id}/,GET,openapi,admin_konsensus_config_retrieve,admin,,
/api/admin/konsensus-config/{id}/,PATCH,openapi,admin_konsensus_config_partial_update,admin,,
/api/admin/konsensus-config/{id}/,PUT,openapi,admin_konsensus_config_update,admin,,
/api/admin/moderation/,GET,openapi,admin_moderation_list,admin,,
/api/admin/moderation/,POST,openapi,admin_moderation_create,admin,,
/api/admin/moderation/{id}/,DELETE,openapi,admin_moderation_destroy,admin,,
/api/admin/moderation/{id}/,GET,openapi,admin_moderation_retrieve,admin,,
/api/admin/moderation/{id}/,PATCH,openapi,admin_moderation_partial_update,admin,,
/api/admin/moderation/{id}/,PUT,openapi,admin_moderation_update,admin,,
/api/admin/users/,GET,openapi,admin_users_list,admin,,
/api/admin/users/{id}/,GET,openapi,admin_users_retrieve,admin,,
/api/auth-token/,GET,urls,,,,
/api/auth-token/,POST,openapi,auth_token_create,auth-token,,
/api/deliberate/arguments/,GET,openapi,deliberate_arguments_list,deliberate,,
/api/deliberate/arguments/,POST,openapi,deliberate_arguments_create,deliberate,,
/api/deliberate/arguments/{id}/,DELETE,openapi,deliberate_arguments_destroy,deliberate,,
/api/deliberate/arguments/{id}/,GET,openapi,deliberate_arguments_retrieve,deliberate,,
/api/deliberate/arguments/{id}/,PATCH,openapi,deliberate_arguments_partial_update,deliberate,,
/api/deliberate/arguments/{id}/,PUT,openapi,deliberate_arguments_update,deliberate,,
/api/deliberate/categories/,GET,openapi,deliberate_categories_list,deliberate,,
/api/deliberate/categories/{id}/,GET,openapi,deliberate_categories_retrieve,deliberate,,
/api/deliberate/demo-scenarios/import,POST,openapi,deliberate_demo_scenarios_import_create,deliberate,,
/api/deliberate/demo-scenarios/import/,POST,openapi,deliberate_demo_scenarios_import_create_2,deliberate,,
/api/deliberate/demo-scenarios/preview,POST,openapi,deliberate_demo_scenarios_preview_create,deliberate,,
/api/deliberate/demo-scenarios/preview/,POST,openapi,deliberate_demo_scenarios_preview_create_2,deliberate,,
/api/deliberate/demo-scenarios/reset,POST,openapi,deliberate_demo_scenarios_reset_create,deliberate,,
/api/deliberate/demo-scenarios/reset/,POST,openapi,deliberate_demo_scenarios_reset_create_2,deliberate,,
/api/deliberate/elite/arguments/,GET,openapi,deliberate_elite_arguments_list,deliberate,,
/api/deliberate/elite/arguments/,POST,openapi,deliberate_elite_arguments_create,deliberate,,
/api/deliberate/elite/arguments/{id}/,DELETE,openapi,deliberate_elite_arguments_destroy,deliberate,,
/api/deliberate/elite/arguments/{id}/,GET,openapi,deliberate_elite_arguments_retrieve,deliberate,,
/api/deliberate/elite/arguments/{id}/,PATCH,openapi,deliberate_elite_arguments_partial_update,deliberate,,
/api/deliberate/elite/arguments/{id}/,PUT,openapi,deliberate_elite_arguments_update,deliberate,,
/api/deliberate/elite/categories/,GET,openapi,deliberate_elite_categories_list,deliberate,,
/api/deliberate/elite/categories/{id}/,GET,openapi,deliberate_elite_categories_retrieve,deliberate,,
