file,needs_client,has_use_client,action
instrumentation.ts,False,False,none
next.config.ts,False,False,none
playwright.config.ts,False,False,none
playwright.ct.config.ts,False,False,none
playwright.smoke.config.ts,False,False,none
.storybook\main.ts,False,False,none
.storybook\preview.ts,False,False,none
app\layout.tsx,False,False,none
app\page.tsx,False,False,none
components\CustomComment.tsx,False,True,none
components\PageContainer.tsx,False,True,none
components\TagsList.tsx,False,True,none
components\ThemeSwitcher.tsx,False,False,none
context\ThemeContext.tsx,True,True,none
hooks\useExpertiseTags.ts,False,True,none
hooks\usePageTitle.ts,True,True,none
hooks\useReputationEvents.ts,False,False,none
routes\index.ts,False,False,none
routes\routesEkoh.tsx,False,True,none
routes\routesEthikos.tsx,False,True,none
routes\routesKeenkonnect.tsx,True,True,none
routes\routesKonnected.tsx,False,True,none
routes\routesKreative.tsx,False,True,none
services\admin.ts,False,False,none
services\decide.mock.ts,False,False,none
services\decide.ts,False,False,none
services\deliberate.ts,False,False,none
services\impact.ts,False,False,none
services\learn.ts,False,False,none
services\pulse.ts,False,False,none
services\trust.ts,False,False,none
services\_request.ts,True,False,inserted
shared\api.ts,False,False,none
shared\downloadCsv.ts,True,False,inserted
shared\QueryProvider.tsx,True,True,none
tests\routes-tests.spec.ts,True,False,inserted
tests\routes.spec.ts,False,False,none
theme\cyberTheme.ts,False,False,none
theme\darkTheme.ts,False,False,none
theme\funkyTheme.ts,False,False,none
theme\index.ts,False,False,none
theme\kktheme.ts,False,False,none
theme\lightTheme.ts,False,False,none
theme\minimalTheme.ts,False,False,none
theme\modernTheme.ts,False,False,none
theme\oceanTheme.ts,False,False,none
theme\sunsetTheme.ts,False,False,none
_e2e\example.spec.ts,False,False,none
src\components\ThemeSwitcher.tsx,False,False,none
src\theme\cyberTheme.ts,False,False,none
src\theme\darkTheme.ts,False,False,none
src\theme\funkyTheme.ts,False,False,none
src\theme\index.ts,False,False,none
src\theme\kktheme.ts,False,False,none
src\theme\lightTheme.ts,False,False,none
src\theme\minimalTheme.ts,False,False,none
src\theme\modernTheme.ts,False,False,none
src\theme\oceanTheme.ts,False,False,none
src\theme\sunsetTheme.ts,False,False,none
src\components\CommonWidget\page.tsx,False,False,none
shared\layout\MainLayout.tsx,False,True,none
shared\services\admin.ts,False,False,none
shared\services\search.ts,False,False,none
modules\kreative\idea-incubator\my-ideas\components\CommonWidget\page.tsx,False,False,none
modules\kreative\idea-incubator\create-new-idea\components\CommonWidget\page.tsx,False,False,none
modules\kreative\idea-incubator\collaborate-on-ideas\components\CommonWidget\page.tsx,False,False,none
modules\kreative\dashboard\components\CommonWidget\page.tsx,False,False,none
modules\kreative\creative-hub\submit-creative-work\components\CommonWidget\page.tsx,False,False,none
modules\kreative\creative-hub\inspiration-gallery\components\CommonWidget\page.tsx,False,False,none
modules\kreative\creative-hub\explore-ideas\components\CommonWidget\page.tsx,False,False,none
modules\kreative\community-showcases\top-creators\components\CommonWidget\page.tsx,False,False,none
modules\kreative\community-showcases\submit-to-showcase\components\CommonWidget\page.tsx,False,False,none
modules\kreative\community-showcases\featured-projects\components\CommonWidget\page.tsx,False,False,none
modules\kreative\collaborative-spaces\start-new-space\components\CommonWidget\page.tsx,False,False,none
modules\kreative\collaborative-spaces\my-spaces\components\CommonWidget\page.tsx,False,False,none
modules\kreative\collaborative-spaces\find-spaces\components\CommonWidget\page.tsx,False,False,none
modules\kontact\components\index.ts,False,False,none
modules\kontact\components\OpportunityList.tsx,False,False,none
modules\kontact\components\ProfileCard.tsx,False,False,none
modules\kontact\hooks\index.ts,False,False,none
modules\kontact\hooks\useOpportunities.ts,False,False,none
modules\kontact\hooks\useProfiles.ts,False,False,none
modules\kontact\pages\ConnectCenter.tsx,False,False,none
modules\kontact\pages\index.ts,False,False,none
modules\kontact\pages\PublicProfile.tsx,False,False,none
modules\konsultations\components\ConsultationForm.tsx,False,False,none
modules\konsultations\components\ConsultationList.tsx,False,False,none
modules\konsultations\components\ConsultationVotePanel.tsx,False,False,none
modules\konsultations\components\ImpactTimeline.tsx,False,False,none
modules\konsultations\components\index.ts,False,False,none
modules\konsultations\components\ResultsChart.tsx,False,False,none
modules\konsultations\components\ResultsDashboard.tsx,False,False,none
modules\konsultations\components\SuggestionBoard.tsx,False,False,none
modules\konsultations\components\SuggestionsBoard.tsx,False,False,none
modules\konsultations\hooks\index.ts,False,False,none
modules\konsultations\hooks\useConsultation.ts,False,False,none
modules\konsultations\hooks\useConsultationResults.ts,False,False,none
modules\konsultations\hooks\useConsultations.ts,False,False,none
modules\konsultations\hooks\useConsultationVote.ts,False,False,none
modules\konsultations\hooks\useImpact.ts,False,False,none
modules\konsultations\hooks\useSuggestions.ts,False,False,none
modules\konsultations\pages\ConsultationDetailPage.tsx,False,False,none
modules\konsultations\pages\ConsultationHub.tsx,False,False,none
modules\konsultations\pages\ConsultationsHomePage.tsx,False,False,none
modules\konsultations\pages\index.ts,False,False,none
modules\konsultations\pages\ResultsPage.tsx,False,False,none
modules\konsultations\pages\SuggestionPage.tsx,False,False,none
modules\konsensus\components\index.ts,False,False,none
modules\konsensus\components\PollBarChart.tsx,False,True,none
modules\konsensus\components\VoteButtons.tsx,False,False,none
modules\konsensus\hooks\index.ts,False,False,none
modules\konsensus\hooks\useLivePoll.ts,True,False,inserted
modules\konsensus\hooks\usePoll.ts,False,False,none
modules\konsensus\pages\index.ts,False,False,none
modules\konsensus\pages\PollPage.tsx,False,True,none
modules\konnected\teams-collaboration\team-builder\components\CommonWidget\page.tsx,False,False,none
modules\konnected\teams-collaboration\project-workspaces\components\CommonWidget\page.tsx,False,False,none
modules\konnected\teams-collaboration\my-teams\components\CommonWidget\page.tsx,False,False,none
modules\konnected\teams-collaboration\activity-planner\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-paths\my-learning-path\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-paths\manage-existing-paths\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-paths\create-learning-path\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-library\search-filters\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-library\recommended-resources\components\CommonWidget\page.tsx,False,False,none
