
Pattern         Path
-------         ----                                                                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
supportxmr      C:\mycode\Konnaxion\Konnaxion\docs\SecurityProblem-Update.txt                                           
supportxmr      C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
supportxmr      C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
supportxmr      C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
supportxmr      C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
supportxmr      C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
supportxmr      C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
pool.supportxmr C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
pool.supportxmr C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
pool.supportxmr C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
pool.supportxmr C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
xmrig           C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
xmrig           C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\miner-scan-results.txt                                                    
amco            C:\mycode\Konnaxion\Konnaxion\backend\konnaxion\static\images\favicons\favicon.svg                      
amco            C:\mycode\Konnaxion\Konnaxion\docs\SecurityProblem-Update.txt                                           
amco            C:\mycode\Konnaxion\Konnaxion\docs\SecurityProblem-Update.txt                                           
amco            C:\mycode\Konnaxion\Konnaxion\docs\SecurityProblem-Update.txt                                           
amco            C:\mycode\Konnaxion\Konnaxion\docs\SecurityProblem-Update.txt                                           
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\docs\Technical-Reference\namecheap-vps.md                                 
amco            C:\mycode\Konnaxion\Konnaxion\frontend\app\teambuilder\[sessionId]\page.tsx                             
amco            C:\mycode\Konnaxion\Konnaxion\frontend\app\teambuilder\[sessionId]\page.tsx                             
amco            C:\mycode\Konnaxion\Konnaxion\PlantUML\plantuml.jar                                                     
amco            C:\mycode\Konnaxion\Konnaxion\PlantUML\plantuml.jar                                                     
amco            C:\mycode\Konnaxion\Konnaxion\PlantUML\plantuml.jar                                                     
